id,label
0,0
1,6
2,0
3,2
4,3
5,3
6,2
7,2
8,4
9,2
10,3
11,2
12,4
13,2
14,6
15,2
16,5
17,5
18,5
19,3
20,6
21,0
22,4
23,4
24,0
25,0
26,4
27,6
28,5
29,5
30,3
31,6
32,3
33,6
34,6
35,0
36,6
37,2
38,4
39,3
40,0
41,4
42,3
43,6
44,6
45,6
46,5
47,3
48,5
49,6
50,6
51,2
52,5
53,2
54,6
55,3
56,2
57,3
58,5
59,3
60,6
61,3
62,6
63,5
64,5
65,3
66,6
67,6
68,6
69,3
70,6
71,5
72,4
73,3
74,2
75,6
76,5
77,6
78,6
79,4
80,4
81,0
82,0
83,3
84,5
85,2
86,3
87,3
88,5
89,3
90,6
91,2
92,3
93,6
94,0
95,0
96,2
97,3
98,3
99,0
100,3
101,6
102,0
103,3
104,5
105,3
106,6
107,6
108,5
109,3
110,3
111,0
112,2
113,0
114,3
115,2
116,3
117,3
118,2
119,6
120,5
121,0
122,0
123,2
124,2
125,6
126,3
127,6
128,5
129,5
130,2
131,4
132,2
133,6
134,5
135,5
136,5
137,3
138,6
139,6
140,2
141,3
142,0
143,2
144,2
145,4
146,3
147,4
148,3
149,2
150,6
151,0
152,5
153,3
154,5
155,5
156,0
157,5
158,0
159,3
160,4
161,3
162,3
163,3
164,2
165,6
166,6
167,6
168,5
169,3
170,6
171,4
172,5
173,3
174,4
175,4
176,2
177,4
178,4
179,5
180,2
181,3
182,2
183,3
184,5
185,4
186,2
187,3
188,0
189,3
190,3
191,0
192,5
193,5
194,3
195,2
196,5
197,6
198,0
199,4
200,6
201,6
202,2
203,3
204,3
205,2
206,4
207,4
208,2
209,5
210,6
211,2
212,0
213,4
214,0
215,2
216,5
217,4
218,4
219,3
220,3
221,4
222,5
223,4
224,0
225,3
226,5
227,4
228,0
229,0
230,3
231,6
232,5
233,2
234,3
235,6
236,3
237,0
238,0
239,6
240,3
241,3
242,6
243,0
244,1
245,2
246,3
247,3
248,0
249,4
250,6
251,2
252,2
253,3
254,2
255,6
256,5
257,6
258,2
259,6
260,0
261,0
262,0
263,6
264,2
265,0
266,2
267,3
268,3
269,6
270,4
271,0
272,5
273,3
274,5
275,3
276,0
277,5
278,1
279,4
280,3
281,5
282,6
283,2
284,6
285,4
286,2
287,0
288,2
289,6
290,0
291,3
292,6
293,2
294,3
295,4
296,2
297,6
298,0
299,3
300,4
301,4
302,2
303,3
304,0
305,3
306,5
307,3
308,3
309,3
310,3
311,6
312,4
313,6
314,1
315,3
316,4
317,2
318,4
319,3
320,0
321,5
322,0
323,6
324,4
325,2
326,2
327,3
328,3
329,6
330,3
331,3
332,0
333,3
334,2
335,3
336,0
337,6
338,0
339,3
340,0
341,5
342,0
343,6
344,6
345,0
346,3
347,3
348,2
349,4
350,3
351,0
352,6
353,3
354,3
355,4
356,3
357,0
358,4
359,2
360,2
361,5
362,6
363,6
364,5
365,3
366,3
367,3
368,2
369,0
370,0
371,6
372,4
373,4
374,4
375,2
376,6
377,5
378,6
379,4
380,6
381,5
382,3
383,3
384,0
385,6
386,3
387,5
388,6
389,0
390,2
391,6
392,3
393,5
394,0
395,5
396,2
397,2
398,4
399,0
400,4
401,5
402,3
403,3
404,2
405,6
406,5
407,5
408,5
409,5
410,0
411,5
412,6
413,3
414,3
415,6
416,6
417,3
418,5
419,4
420,6
421,3
422,2
423,0
424,6
425,0
426,2
427,3
428,3
429,4
430,5
431,6
432,2
433,6
434,3
435,2
436,6
437,2
438,0
439,0
440,6
441,0
442,6
443,2
444,2
445,3
446,0
447,3
448,2
449,1
450,0
451,3
452,6
453,6
454,4
455,5
456,2
457,4
458,0
459,6
460,5
461,5
462,2
463,3
464,6
465,4
466,2
467,3
