id,label
0,0
1,3
2,0
3,2
4,3
5,3
6,4
7,4
8,4
9,2
10,3
11,0
12,4
13,2
14,6
15,5
16,5
17,5
18,5
19,3
20,4
21,5
22,4
23,4
24,4
25,4
26,4
27,4
28,0
29,5
30,3
31,6
32,3
33,6
34,4
35,4
36,6
37,2
38,4
39,3
40,0
41,4
42,0
43,6
44,6
45,3
46,5
47,6
48,5
49,6
50,0
51,3
52,5
53,5
54,4
55,3
56,2
57,2
58,5
59,3
60,6
61,3
62,4
63,3
64,5
65,3
66,5
67,4
68,6
69,3
70,6
71,5
72,4
73,3
74,2
75,6
76,5
77,6
78,6
79,4
80,4
81,6
82,0
83,3
84,5
85,4
86,3
87,3
88,5
89,3
90,6
91,0
92,6
93,4
94,0
95,0
96,2
97,3
98,3
99,0
100,3
101,6
102,0
103,3
104,2
105,5
106,6
107,6
108,2
109,3
110,3
111,0
112,6
113,4
114,3
115,2
116,3
117,6
118,2
119,6
120,5
121,4
122,5
123,2
124,4
125,6
126,3
127,0
128,5
129,5
130,2
131,0
132,2
133,4
134,5
135,5
136,5
137,3
138,6
139,6
140,0
141,3
142,0
143,6
144,2
145,6
146,3
147,3
148,3
149,4
150,4
151,0
152,5
153,3
154,5
155,5
156,4
157,5
158,0
159,3
160,4
161,3
162,3
163,3
164,4
165,6
166,6
167,6
168,5
169,6
170,6
171,4
172,5
173,4
174,4
175,6
176,4
177,4
178,4
179,5
180,4
181,3
182,2
183,3
184,3
185,0
186,4
187,3
188,4
189,3
190,4
191,4
192,5
193,5
194,3
195,4
196,5
197,6
198,0
199,0
200,3
201,3
202,5
203,3
204,3
205,5
206,4
207,4
208,4
209,2
210,0
211,0
212,2
213,4
214,4
215,5
216,5
217,4
218,4
219,3
220,3
221,4
222,5
223,4
224,0
225,3
226,5
227,0
228,0
229,3
230,3
231,6
232,5
233,0
234,3
235,4
236,3
237,0
238,2
239,6
240,3
241,6
242,6
243,0
244,1
245,6
246,3
247,3
248,0
249,6
250,4
251,4
252,4
253,3
254,4
255,6
256,2
257,4
258,2
259,6
260,4
261,4
262,2
263,6
264,2
265,0
266,2
267,3
268,3
269,4
270,4
271,4
272,5
273,3
274,5
275,3
276,4
277,5
278,0
279,0
280,3
281,2
282,6
283,2
284,2
285,4
286,0
287,4
288,4
289,6
290,2
291,3
292,6
293,2
294,3
295,4
296,2
297,6
298,4
299,3
300,6
301,4
302,3
303,3
304,0
305,3
306,5
307,3
308,3
309,3
310,3
311,6
312,6
313,6
314,1
315,2
316,6
317,2
318,0
319,3
320,4
321,5
322,0
323,6
324,4
325,6
326,2
327,3
328,3
