id,label
0,4
1,6
2,0
3,6
4,3
5,3
6,2
7,6
8,4
9,5
10,3
11,0
12,2
13,5
14,6
15,5
16,5
17,5
18,5
19,3
20,6
21,5
22,4
23,4
24,0
25,0
26,4
27,4
28,5
29,5
30,3
31,6
32,3
33,6
34,0
35,5
36,6
37,2
38,4
39,3
40,0
41,4
42,0
43,3
44,6
45,3
46,5
47,3
48,5
49,6
50,0
51,3
52,5
53,0
54,4
55,3
56,2
57,4
58,5
59,3
60,6
61,3
62,6
63,5
64,5
65,3
66,5
67,6
68,2
69,3
70,4
71,5
72,4
73,3
74,2
75,6
76,5
77,6
78,3
79,4
80,4
81,0
82,0
83,3
84,5
85,2
86,3
87,3
88,5
89,3
90,6
91,5
92,3
93,2
94,0
95,0
96,2
97,3
98,3
99,0
100,3
101,6
102,0
103,3
104,5
105,3
106,6
107,6
108,5
109,3
110,3
111,0
112,0
113,0
114,3
115,2
116,3
117,3
118,2
119,6
120,5
121,4
122,1
123,2
124,4
125,6
126,3
127,0
128,5
129,5
130,2
131,6
132,2
133,6
134,3
135,5
136,5
137,3
138,6
139,6
140,6
141,3
142,0
143,6
144,2
145,6
146,3
147,3
148,3
149,2
150,6
151,0
152,5
153,3
154,5
155,5
156,0
157,5
158,0
159,3
160,0
161,3
162,3
163,3
164,6
165,6
166,6
167,4
168,5
169,3
170,6
171,4
172,5
173,6
174,4
175,6
176,4
177,2
178,4
179,5
180,6
181,3
182,2
183,3
184,3
185,0
186,4
187,3
188,2
189,3
190,2
191,4
192,5
193,5
194,3
195,6
196,5
197,6
198,0
199,0
200,3
201,3
202,5
203,3
204,3
205,5
206,4
207,4
208,4
209,5
210,6
211,4
212,0
213,0
214,0
215,5
216,5
217,4
218,4
219,3
220,3
221,4
222,5
223,6
224,2
225,3
226,5
227,0
228,0
229,0
230,3
231,6
232,5
233,2
234,3
235,6
236,3
237,0
238,2
239,6
240,3
241,4
242,6
243,0
244,1
245,3
246,3
247,6
248,0
249,0
250,4
251,2
252,2
253,3
254,3
255,6
256,5
257,3
