TestDataID,Rating
1,4.11239
2,4.14352
3,4.32268
4,3.14003
5,3.63782
6,3.81086
7,4.41064
8,3.45173
9,3.39895
10,3.24187
11,4.27606
12,3.60732
13,3.57121
14,3.77012
15,3.70326
16,3.65599
17,3.80416
18,4.07717
19,4.01845
20,4.00573
21,3.9893
22,4.66175
23,4.05364
24,3.22915
25,4.03083
26,2.79924
27,3.90598
28,3.65632
29,2.04086
30,3.25703
31,3.14946
32,3.27424
33,3.20261
34,3.04634
35,4.4968
36,4.351
37,4.0742
38,3.29378
39,3.21241
40,1.88933
41,3.39837
42,3.96556
43,2.58502
44,4.51291
45,3.96885
46,3.82343
47,3.67628
48,3.74664
49,3.7346
50,3.87622
51,4.2054
52,3.47517
53,3.96294
54,5
55,4.23161
56,3.31894
57,4.37167
58,2.86325
59,3.81401
60,3.65947
61,3.16448
62,4.23111
63,4.04761
64,4.0438
65,4.43901
66,3.69346
67,4.43948
68,4.22978
69,3.23323
70,4.45827
71,3.1088
72,4.21069
73,3.18287
74,4.14805
75,2.89616
76,2.81854
77,4.19693
78,4.10553
79,4.23252
80,4.43757
81,4.14585
82,4.32834
83,3.7611
84,3.7519
85,4.62859
86,3.76558
87,4.74441
88,4.04019
89,4.33884
90,3.63934
91,4.23319
92,4.03129
93,4.11126
94,4.17473
95,3.49927
96,4.32243
97,4.06455
98,4.75187
99,4.28175
100,4.0724
101,3.93663
102,4.03836
103,4.8608
104,4.53167
105,4.14162
106,4.48375
107,3.91332
108,3.72792
109,3.85642
110,3.6595
111,4.45881
112,4.35009
113,4.40094
114,3.47858
115,4.25927
116,2.09784
117,4.21941
118,3.5248
119,3.43206
120,2.79504
121,1.90151
122,3.31402
123,4.1839
124,2.36141
125,2.70884
126,4.55794
127,4.27761
128,4.23139
129,3.33284
130,2.77059
131,3.45599
132,4.00735
133,4.22438
134,4.22467
135,2.18332
136,3.8979
137,4.11239
138,4.03108
139,4.03859
140,3.114
141,3.07326
142,3.50525
143,3.54842
144,3.18767
145,3.36837
146,3.36462
147,3.47954
148,3.74086
149,3.13974
150,2.99591
151,3.46749
152,3.8105
153,3.58004
154,2.26411
155,3.36104
156,3.25705
157,4.05884
158,3.97319
159,2.39517
160,3.91374
161,3.46656
162,3.37391
163,2.69515
164,2.38601
165,3.31076
166,3.45408
167,4.03896
168,4.46327
169,3.09685
170,4.97524
171,4.51337
172,4.60812
173,3.47032
174,4.72459
175,4.35915
176,4.65655
