TestDataID,Rating
1,4.69569
2,4.00779
3,4.37934
4,2.23171
5,3.5883
6,3.38658
7,4.51969
8,2.75943
9,3.48799
10,2.40198
11,4.16291
12,4.04398
13,3.37159
14,3.36969
15,3.16879
16,3.83091
17,4.07376
18,4.17881
19,4.30122
20,3.08336
21,3.90762
22,3.82243
23,4.2043
24,3.27828
25,3.61513
26,2.73527
27,3.57547
28,3.43239
29,2.29196
30,3.08826
31,2.64752
32,2.88718
33,3.41507
34,3.00256
35,4.11021
36,3.97107
37,3.74085
38,2.78072
39,3.26476
40,2.05232
41,3.11819
42,3.7112
43,2.56285
44,4.22758
45,3.92449
46,3.98558
47,3.28028
48,4.05915
49,3.94155
50,3.79672
51,3.556
52,3.34578
53,4.41299
54,4.6771
55,4.17093
56,3.40108
57,4.11155
58,2.68085
59,4.215
60,3.63577
61,3.27102
62,3.68384
63,3.80774
64,3.92659
65,4.42497
66,3.71441
67,4.01211
68,4.04327
69,3.45683
70,4.20262
71,3.17447
72,4.59719
73,3.10442
74,4.27437
75,2.7164
76,3.18434
77,4.04832
78,4.12662
79,4.55286
80,4.37665
81,4.51432
82,4.11346
83,4.43705
84,4.39856
85,4.72329
86,4.15444
87,4.61792
88,4.08799
89,4.35716
90,4.20727
91,4.03386
92,4.0792
93,4.13728
94,4.56526
95,4.08521
96,4.35408
97,4.29936
98,4.2718
99,4.25696
100,4.49576
101,3.63438
102,4.02192
103,4.90495
104,4.20068
105,4.0609
106,4.39276
107,4.02955
108,4.79892
109,3.42045
110,3.90916
111,4.20331
112,4.27852
113,4.46708
114,3.41407
115,4.27328
116,1.99571
117,3.61053
118,3.43895
119,3.61647
120,2.40445
121,2.28782
122,2.86114
123,3.69805
124,2.21563
125,2.66978
126,4.53529
127,3.94546
128,4.51894
129,3.78573
130,1.80566
131,3.92445
132,4.16701
133,3.9539
134,4.4831
135,1.26186
136,3.44631
137,3.92726
138,3.73696
139,4.05809
140,2.81837
141,2.67841
142,3.66794
143,3.38887
144,2.98599
145,3.77082
146,2.96616
147,4.20166
148,4.17677
149,3.58016
150,3.0208
151,3.63645
152,3.82107
153,4.25245
154,2.3095
155,3.42386
156,2.91153
157,4.29287
158,4.22514
159,2.69999
160,4.12551
161,3.64142
162,3.11253
163,2.83527
164,2.48437
165,2.6226
166,3.34683
167,3.63249
168,3.83976
169,2.70961
170,5
171,3.60506
172,4.41963
173,3.7544
174,4.55133
